GSM_ID,Sample_Name,Sentrix_ID,Sentrix_Position
GSM1711360,Sample_1,9247377093,R02C01
GSM1711363,Sample_2,9247377085,R04C02
GSM1711365,Sample_3,9247377093,R02C02
GSM1711364,Sample_4,9247377093,R05C01
GSM1711361,Sample_5,9247377093,R03C01
GSM1711362,Sample_6,9247377093,R06C02
